criteria,count,jam_english
wie gut wurde das thema umgesetzt?,1,n
wie viel spaß macht dir das spiel?,1,n
wie gefällt dir die optik des spiels?,1,n
wie gefällt dir der sound und die musik des spiels?,1,n
crazyness - grad,1,n
tema,15,n
gráficos,14,n
jugabilidad,12,n
originalidad,11,n
design visuel,1,n
divertido,1,n
funcional,1,n
artístico,1,n
científico,1,n
arte,16,n
penetración en redes sociales,2,n
uso de diversificadores.,1,n
som,6,n
apresentação,5,n
documentação,4,n
czy jest na temat?,2,n
grafika,2,n
muzyka,2,n
kreatywność,2,n
originalité,5,n
qualité graphique,1,n
respect du thème,37,n
uso de diversificadores,1,n
diversión,8,n
"afinidad al tema (""bizarro"")",1,n
sonido,2,n
controles,2,n
marte (graficos),2,n
defeitos sonoros (som em geral),2,n
gemaplya (gameplay),2,n
criar atividade (criatividade),2,n
zuera,1,n
zuera (preciso explicar? xd),1,n
graphisme,10,n
ressenti global,3,n
الإبداع,1,n
الإتقان,1,n
المتعة,1,n
inovação,3,n
diversão,7,n
áudio,5,n
соответствие стилю,1,n
звук,2,n
геймплей,2,n
графика,3,n
innovacion - ¿es un juego innovador?,1,n
diversion - ¿es divertido? ¿las horas pasan sin darme cuenta?,1,n
tema - ¿se relaciona con conservación del agua?,1,n
"gráficas - ¿son bonitas, interesantes, relacionadas al tema?",1,n
audio - ¿tiene efectos por cada acción? ¿la música ayuda a la immersión?,1,n
humor - ¿es gracioso?,1,n
"mood - narrativa, emoción y ambiente que experimenta mientras juega..",1,n
"overall - opinión general del juego, en cada aspecto importante para ti.",1,n
música,4,n
inovación,1,n
visuales,3,n
fidelidade,1,n
jogabilidade,2,n
musica,3,n
glitchiness,1,n
originalidad: entre más épico sea la propuesta califiquen más alto.,1,n
hollywood: ¿es un momento de cine o de rol? rol califiquen más alto.,1,n
"trilogía: ¿es tan épico que da para varias historias? entre más, más alto.",1,n
"videogame: ¿realmente se presta para interactuar, o solo es apariencia?",1,n
"altaleticia: ¿es rol o va más allá? si, califiquen 5. podría ser, 4. no, 1.",1,n
geral,7,n
visuais,1,n
sonorização,1,n
criatividade,5,n
mecânica,2,n
sons,3,n
trilha sonora / efeitos sonoros,1,n
mecânicas,1,n
innovacion,1,n
mecanicas,2,n
calidad,2,n
musica y fx,1,n
grafica,1,n
el ranger y el paladín,1,n
logan,1,n
el apuesto anakin más jedis,1,n
estaríamos mejor con eviscerator,1,n
русский язык,1,n
creatividad,3,n
completitud,1,n
detalles,1,n
jogabilidade e velocidade / playability and velocity,1,n
diversão  / fun,1,n
gráficos e sons / graphics and sounds,1,n
fator replay / replay factor,1,n
narrativa / history,1,n
uso do tema,1,n
estilo visual,2,n
ui - interface de usuário,1,n
sfx - efeitos sonoros,1,n
bgm - música de fundo,1,n
innovación,2,n
gráficas,1,n
"[mood] - historia, emoción, buena/mala onda",1,n
en general,1,n
es jugable,1,n
apoyo a otros proyectos del jam,1,n
graphismes,4,n
musique/sons,1,n
ambience générale,1,n
criatividade e jogabilidade,1,n
pertinência,1,n
qualidade,1,n
interpretación de la temática,1,n
ambientación,1,n
jugabilidad y diversión,1,n
ejecución,1,n
general (opinión general del juego desde todos los aspectos),1,n
tema (que tan bien se implementó el tema),1,n
"diversión (que tan divertido es jugarlo, que tan fácil es jugarlo)",1,n
arte (la estética y que tan bien se ve el juego),1,n
audio (que tan bueno es el audio respecto al ambiente del juego),1,n
innovación (algo diferente muy notable),1,n
gesamtwertung,3,n
spielspaß,1,n
umsetzung des themas,3,n
grafik,6,n
atmosphäre,3,n
respect de la fonction,1,n
compléxité de la fonction,1,n
originalidad: entre menos se parezca a cualquier viaje conocido mejor.,1,n
12 trabajos: ¿es un viaje para un hombre o para una partida de d&d?,1,n
jaffar: ¿tan complicado que los villanos requieren contratar héroes?,1,n
"mordor: ¿el viaje es ""imposible""?",1,n
leyenda: ¿este viaje te vale un estatus de leyenda?,1,n
criatividade com o tema,1,n
criatividade(creativety),1,n
game play/diversão(fun),1,n
"musica(""music"")",1,n
"efeito de som(""sound fx"")",1,n
melhor interpretação do tema(best interpretation of the theme),1,n
surpresa,1,n
relaxamento,1,n
loucura,1,n
domi-liche: ¿es un villano para una película o para una partida de d&d?,1,n
villanía: ¿es capa de más grandes fechorías?,1,n
malefica: ¿su maldad es tanta que va más allá de lo que hace?,1,n
zimm: ¿el uso de unos aventureros es necesario o solo estupidez?,1,n
hur roligt var spelet?,1,n
hur roligt var skämtet?,1,n
minimalistiskt?,1,n
história,1,n
el juego es divertido,1,n
el juego es bonito,1,n
el juego tiene unas mecánicas muy bien trabajadas,1,n
el juego es original,1,n
general (tu opinión del juego considerando todo),1,n
"tema (¿qué tanto tiene que ver con el tema ""abstracto""?)",1,n
innovation – die unerwartete einzigartige idee.,1,n
fun – hattest du spaß beim spielen?,1,n
theme – wie gut passt das spiel zum thema? war es kreativ?,1,n
graphics – wie hat dir die optik gefallen?.,1,n
audio – wie gut waren sounds und musik?,1,n
mood – wie war die atmosphäre?,1,n
stability - gab es bugs oder probleme?,1,n
overall – wie war dein gesamteindruck?,1,n
trilha sonora,1,n
polimento,4,n
соблюдение pixel art,1,n
дизайн,1,n
инновационность,1,n
фан,1,n
в тему,1,n
аудио,1,n
юмор,1,n
настроение,1,n
в целом,1,n
innovation - inovação,1,n
fun - diversão,1,n
theme - tema,1,n
graphics - gráficos,1,n
audio - áudio,1,n
humor - comédia,1,n
"mood - ambientação, atmosfera",1,n
in tema - quanto è spaghetti western il gioco?,1,n
arte - quanto è impressionante il gioco a livello artistico?,1,n
tecnica - il gioco presenta soluzioni tecniche ben realizzate?,1,n
"originalità - il gioco fa qualcosa di nuovo, o interpreta il vecchio west in maniera inaspettata?",1,n
beleza,1,n
adequação ao tema,4,n
diseño,1,n
lara croft ¿es un tesoro para un museo o para una partida de d&d?,1,n
villanía ¿es un tesoro digno de las más grandes fechorías?,1,n
rico mcpato: ¿como lo valuarías en dinero?,1,n
hamas: ¿cambiarías todo lo que tienes por este tesoro?,1,n
jouabilité,5,n
intégration des mots,1,n
roligt,2,n
konstnärligt,1,n
plaisir de jeu,2,n
musique / sons,2,n
amarelo,1,n
sentimentalismo,1,n
nunca mais vou dormir,1,n
viciante,1,n
mecanica,1,n
fácil de jogar,1,n
eu pagaria 5 reais,1,n
bonite,1,n
cenarios,1,n
vai com douglas,1,n
100% jesus,1,n
vai brasil-il-il,1,n
estética,2,n
best la petite mort,1,n
best le grand guignol,1,n
genel,1,n
eğlence,1,n
i̇novasyon,1,n
temaya uygunluk,1,n
ses,1,n
mizah,1,n
graphisme / gfx,1,n
son / bande sonore,1,n
son,4,n
mejor experiencia de horror,1,n
mejor audio,1,n
gráficos inquietantes,1,n
mejor historia,1,n
innovación narrativa,1,n
direção de arte,2,n
nota final,1,n
graficotes,1,n
musicote,1,n
note générale,15,n
artistique (graphisme/son/histoire),2,n
présentation de la page de téléchargement du jeu,2,n
amusant,1,n
qualité de réalisation,1,n
mécanique de jeu adaptée au sujet,1,n
"libre et ""clé-en-main"" pour qui veut l'améliorer",1,n
diversão (no geral),1,n
equipo que más ayudó a los demás,1,n
mayor logro técnico,1,n
mayor logro estético,1,n
mayor inmmersión,1,n
proyecto que debería tener seguimiento,1,n
direction artistique,3,n
musique,1,n
nota do jurado,1,n
voto popular,1,n
finition,1,n
graficos,1,n
globale,1,n
visuel,1,n
tema - importância do tema,1,n
tema - criatividade no uso do tema,1,n
gameplay - fluxo,1,n
gameplay - escolhas significativas,1,n
arte - qualidade da produção da arte,1,n
arte - direção de arte,1,n
user experience - facilidade de uso,1,n
user experience - facilidade de aprendizagem,1,n
mustachkänsla,1,n
minimalistiskt scope,1,n
avis général,5,n
experiência,1,n
mood (sentiment lors du teste),1,n
jam - mejor arte,1,n
jam - mejor diseño,1,n
jam - mejor implementación del tema,1,n
jam - mejor audio,1,n
jam - mejor juego,1,n
longplay - mejor juego,1,n
globalement,2,n
visuels,2,n
musique et effets sonores,2,n
impression générale,1,n
sonoplastia,1,n
conceito,1,n
adaptación del juego a la temática,1,n
música y efectos de sonido,1,n
capacidad de adaptación a la temática planteada,1,n
estética (arte y música),1,n
jugabilidad final del prototipo,1,n
presentación del prototipo,1,n
overall,1272,y
design,32,y
adherence to the theme,2,y
originality,98,y
use of theme,35,y
visual fidelity,1,y
fun,233,y
theme,214,y
visuals,107,y
innovation,112,y
the experience,2,y
sounds and music,5,y
aesthetic (sound and visual),1,y
game feel (playability and control),1,y
64x64 authenticity (was it truly lowrez?),1,y
overall enjoyment,11,y
creative use of theme,2,y
art,122,y
sound,122,y
gameboy feel,1,y
graphics,251,y
overall gameplay,2,y
people's choice vote,2,y
youtuber's choice,1,y
degica's choice,1,y
game design,55,y
audio,225,y
gameplay,390,y
theme interpretation,5,y
aesthetics,35,y
feel,10,y
how minimalistic was the art and/or music?,1,y
how would you rate the games mechanics?,1,y
matches theme,8,y
enjoyment,35,y
game mechanics,24,y
music,99,y
mathes theme,1,y
narrative,9,y
how easy is it to play blindfolded?,1,y
feel good feelin'!,1,y
you should continue this!,1,y
uniqueness,11,y
gameplay /  game mechanic(s),1,y
aestethics / look & feel (incl. sound),1,y
technical wizardry,1,y
eccentric,7,y
visual,14,y
creativity,181,y
entertaining,9,y
how well the three main features are made?,1,y
how original does the three main features feel?,1,y
does the game feel polished?,1,y
sound effects and music,1,y
moddability,1,y
idea and concept behind the game,1,y
is the game is playable ?,1,y
is the game is enjoyable ?,1,y
respect the got license ?,1,y
respect the got story ?,1,y
would you buy it ?,1,y
delivered message,1,y
fun while playing,1,y
character arc/development,1,y
imaginativeness,1,y
story,55,y
did you work well?,1,y
is it a game?,1,y
are you proud?,1,y
entretainment,1,y
visual looking,1,y
addiction,2,y
game concept,2,y
graphics - how well are the graphics implemented into the game?,1,y
story/purpose - does it stand out as a completely different game?,1,y
originality - is the game original or a complete knockoff?,1,y
"how ""anty"" is the game?",1,y
how detailed is the game?,1,y
did you enjoy the game?,1,y
replayability,14,y
concept,16,y
references to youtube videos from this youtuber,1,y
how ejoyable the game is to play,1,y
overall graphics of the game,1,y
overall physics of the game,1,y
creativity?,1,y
graphics?,1,y
cat power?,1,y
addictive,2,y
comedy,1,y
management,1,y
innovative,1,y
mood,26,y
the thing,1,y
themes,2,y
best graphics,2,y
best music,3,y
best sfx,1,y
best overall,6,y
audio-,1,y
1. amount of crust,1,y
2. playability,1,y
3. amount of work put in,1,y
relation to topic,1,y
map,1,y
attention to detail,2,y
engaging story,1,y
animeness,1,y
plot,4,y
quality,15,y
creativy,1,y
replay value,2,y
enjoyability,4,y
mechanics,28,y
thoughtfullness,1,y
overall polish,1,y
story?,1,y
creativeness,6,y
festiveness,1,y
thought put into i,1,y
general opinion of the game,1,y
music / sfx,1,y
game feel and flow,1,y
humor,20,y
judges best overall,1,y
voted best overall,1,y
voted best graphics,1,y
voted best theme-related,1,y
voted best originality,1,y
voted best audio,1,y
jump scares that make sense!,1,y
creative and spooky story lines!,1,y
sketchy rooms and settings!,1,y
pixel art,6,y
funny,3,y
galaxy,1,y
the best game,1,y
the funniest game,1,y
the most serious game,1,y
the most playable game,1,y
stupidness,1,y
cuteness,3,y
controls,39,y
staying on theme,1,y
keeping it simple,1,y
making a 2d game,1,y
least lines of code,1,y
must be educational with accurate information,1,y
wars that need to be included: world war 1 - world war 2 - future war(s),1,y
how fun is the game?,2,y
answering the questions in the description (not all of them),1,y
how good/engrossing was the game,1,y
how well ascii art was implemented into the game,1,y
word game-iness,1,y
sound/music,6,y
controls/gameplay,1,y
accessibility,4,y
fun factor,29,y
potential,2,y
idea,12,y
"""sporty-ness""",1,y
absurdity,1,y
separate identity from source game,1,y
"overall, how alternative?",1,y
sound / music,3,y
immersion,3,y
emotion,2,y
art style,6,y
environment,2,y
ambient,1,y
how you enjoyed playing it,1,y
hacking themed,1,y
the look and feel,1,y
intrest,1,y
realism,2,y
does the game follow the theme?,2,y
is the game playable?,3,y
was it submitted on time?,2,y
is there an achievable goal?,2,y
most unique idea?,2,y
most fun to play?,2,y
best art appeal?,2,y
does music match gameplay?,2,y
most unique mechanic?,2,y
perception of topic,1,y
creativity and design,1,y
ui,4,y
overall quality,5,y
the idea of the game. ( is it unique?),1,y
dose it follow the theme?,1,y
the effort,1,y
write down everything that you use.,1,y
complexity/depth ratio,1,y
my opinion,1,y
game,7,y
uses background maker,1,y
playability,27,y
talent,1,y
fun to play - the game appealed to you and you found yourself enjoying the gameplay,1,y
polished - how bug & glitch free the game is,1,y
gameplay - is the gameplay unique and interested?,1,y
more than 3 sports,1,y
enjoyable,1,y
demo,1,y
graphical continuity,1,y
difficulty,6,y
overall fun,5,y
entertainment,13,y
follows theme,1,y
your rate for this game,1,y
length,1,y
level design,5,y
delivering the theme,1,y
art direction,1,y
originality (do not steal),1,y
authenticity,1,y
radness,1,y
knuckles,1,y
story-telling,1,y
stability,7,y
awesomeness,3,y
is this game fun?,6,y
does this game look good?,4,y
is this game creative?,4,y
is the gameplay good?,5,y
if there's at least two bunnies,1,y
if it involves something lgbtq related,1,y
the quality of the game,1,y
kfc / chicken,1,y
"playable on stream, no boobies or vags",1,y
relevance to the theme,11,y
execution,7,y
prevalence of bugs,1,y
rule following,1,y
how interesting?,1,y
retro feel,1,y
gameplay feel,1,y
main theme,1,y
bonus theme,1,y
resourcefulness,1,y
programming,5,y
relativity of the content with the theme,1,y
atmosphere,8,y
general,7,y
polish,54,y
all-round score,1,y
overall score,3,y
design/game feel,2,y
art/audio,2,y
best art,4,y
best ai,1,y
best gameplay,2,y
community's choice,1,y
creativity/execution,1,y
"oh, effort?",1,y
spirit of takeshi's challenge,1,y
interesting world,1,y
does it adhere to the theme?,1,y
fun-factor,1,y
overall epic-ness,1,y
the best,1,y
gdm lov,1,y
sound effects,21,y
how it looks,1,y
how it feels,1,y
conformance with theme,1,y
overall impression,3,y
feel of polish,1,y
gameplay hasn't been majorly changed,1,y
personal enjoyment,1,y
soundtrack,2,y
art/graphics,3,y
bug and glitch free,1,y
theme-related,1,y
weirdness,2,y
was the game submitted on time?,1,y
is there an acheivale goal?,1,y
is it the most unique idea?,1,y
is it the most fun to play?,1,y
does it have the best art appeal?,1,y
does the music match the gameplay?,1,y
is there a unique mechanic?,1,y
music sync,1,y
tutorial,1,y
level editor (if included),1,y
fitting the category sandbox.,1,y
content,7,y
how well they used the theme,1,y
is the game animal related,1,y
is the main character an animal,1,y
is the game art created by the developers,1,y
did i enjoy this game,1,y
extra: can i play this on any computer,1,y
toca boca greater,1,y
toca boca awesomer,1,y
toca boca gold wins,1,y
educational value,2,y
followed restrictions,1,y
complexity,1,y
unique,2,y
glitches,1,y
spookiness,2,y
game juice,1,y
visual-art,1,y
sound-art,1,y
looks,7,y
quality of the game,2,y
story line and action,1,y
final rating,5,y
theme!,9,y
c o l o r f u l n e s s,5,y
how much do you enjoy the game overall?,30,y
how well does it fit the theme?,18,y
ignorerank,1,y
art/animation,1,y
integration,1,y
must be pixel.,1,y
must be a platformer(like) game.,1,y
"must have worlds and levels, or maybe even a world map.",1,y
"the new uploads should be bug fixes and patches, or maybe more credit.",1,y
should have a main menu.,1,y
must be either a fun game or a rage game.,1,y
must have nessecary controlls.,1,y
must have a good story.,1,y
must have awesome pixel graphics.,1,y
jam level,1,y
sounds,26,y
flavor,1,y
yummy?,1,y
before playing,1,y
after playing,1,y
lobster usage,1,y
clear instructions,1,y
engaging,2,y
closeness to theme,5,y
spoopy-ness,2,y
fits criteria,1,y
​realization of restrictions (more are better),1,y
appearance (graphics and sound),2,y
relation to theme,1,y
graphic style,1,y
sound design,4,y
kc memes,1,y
quality of gameplay,3,y
music/sfx,1,y
character development,1,y
origin story,1,y
rival/nemesis,1,y
super power,1,y
world around the main character,1,y
weird as hell,1,y
must be horror themed,1,y
made with unity,1,y
did it match the theme?,2,y
is it fun?,8,y
is it complete?,1,y
final game presentation?,1,y
overall content,1,y
original,3,y
includes unique confrontations,1,y
created in the span of the gamejam,1,y
fun to play,3,y
should follow the theme,2,y
should be creative,3,y
should be fun to play,3,y
overall funness,1,y
performance,5,y
survival aspect,1,y
random other thing,1,y
must be made made with an eclipse engine,1,y
must be hosted,1,y
must be a one person project,1,y
global appreciation,1,y
respect of the theme,12,y
respect of the constraints,1,y
beauty,2,y
combat/turn-based element,1,y
other gameplay,1,y
wieldness,2,y
fummess,1,y
unique features,1,y
compleatness,1,y
graphic,3,y
how creative is the game?,1,y
was the game supernatural themed?,1,y
does the game look well thought out and not rushed?,1,y
by how weird it is.,1,y
how unique it is.,1,y
if they put forth effort in the project,1,y
did it use squares only?,1,y
how fun was it?,2,y
was it visually appealing?,1,y
was it playable?,1,y
functionality ie how well it plays,1,y
it's just a good game,1,y
arcade,1,y
pixel,1,y
it's memey (not deserving of the award.),1,y
the most voted game is the winner,1,y
the other most voted games will be at second and third,1,y
artistic quality,1,y
music (if original),1,y
how well does it defy the genre?,1,y
does it play well?,1,y
theme - how well is the given theme portrayed?,3,y
mechanics - how unique are the mechanics to a survival game and how well are they implemented?,3,y
survival - how well is the genre of survival implemented? does it feel like a challenge to survive in this game?,3,y
is it playable?,6,y
would you recommend this game to your friends?,8,y
loyalty to the rules,1,y
retro-ness,1,y
effects,1,y
heros/characters,1,y
host's preference :),1,y
fun value,1,y
rpg-ishness,1,y
functionality,6,y
quality of writing,2,y
theme-following,1,y
code,3,y
tunes,1,y
"sorry, kid -- personal tastes.",1,y
should follow theme,1,y
visuals (graphics),1,y
user interface,6,y
"originality - how original is the concept, designs and/or storyline",1,y
"design - graphics, atmosphere, audio effects, and music",1,y
entertainment value - how much enjoyment did you get out of the game,1,y
polish - how well crafted and/or complete is the game,1,y
likeliness to give ptsd factor,1,y
creativity factor,1,y
horror/ terror factor,1,y
omg/wow factor,1,y
how is the audio?,3,y
the factor of not getting caught.,1,y
creativity.,2,y
meets requirements,1,y
style,4,y
overall entertainment (how fun was the game),1,y
tool simplicity (were the tools simple? ex. ms paint vs photoshop),1,y
aesthetics (how well did the game look?),1,y
functionality (how well does the game run?),1,y
music (how well does the game sound),1,y
atmosphere (how does the game feel compared to intent?),1,y
how fun is it to play?,1,y
how complex are the mechanics?,1,y
are the amount of features adequate?,1,y
does it represent community?,1,y
did this game give you a new/familiar experience?,1,y
did this game feel well done for being made in 48 hours?,1,y
best game!,1,y
great idea!,1,y
accurate!,1,y
gameplay / fun / mechanics,1,y
experience,2,y
relevance to theme,6,y
does the game feel like you're playing as a squirrel?,1,y
does the setting re-inforce squirrel life?,1,y
is the squirrel art exciting and/or squirrel-y?,1,y
is the gameplay loop engaging?,1,y
"does the game take an appropriate amount of time? (not too long, not too short- pick up'n go/put down)",1,y
is the game -fun-?,1,y
surreality,1,y
funness,4,y
restriction,1,y
theme adaption,1,y
interactivity,1,y
theme match,2,y
genre match (survival),2,y
random,1,y
implementation,4,y
diversion,2,y
gameplay quality,3,y
asset quality,1,y
best content,1,y
best look,1,y
most popular,1,y
gameplay enjoyment,8,y
global,2,y
graphisms,3,y
musics and sound effects,1,y
respect of theme,2,y
innovation – the unexpected unique idea.,5,y
fun – did you enjoy playing the game?,5,y
theme – does the game suit the theme? is it a creative one?,5,y
graphics – the look of the game.,5,y
audio – how did the game sound?,5,y
mood – the atmosphere of the game.,5,y
stability - is the system stable?,5,y
overall – your overall opinion of the game.,5,y
color_limit,1,y
os_limit,1,y
ui_limit,1,y
text_limit,1,y
action_limit,1,y
cheats_limit,1,y
break_limit,1,y
credits_limit,1,y
open_limit,1,y
fun_limit,1,y
adherence to theme,2,y
appropriate graphics,1,y
content diversity,5,y
visual effects,5,y
compliance with topic,5,y
inovation,2,y
sounds/music,2,y
visual experience​,1,y
audio experience​,1,y
relevance to the theme​,1,y
novelty,5,y
is it a puzzle game?,1,y
ticketability,1,y
respect of themes,1,y
most 4-color like,1,y
"follows the theme, and is fun to play.",1,y
uses unity,1,y
number of bugs,1,y
quick,1,y
replayable,1,y
fun/addicting,1,y
rewarding/satisfying,1,y
simple yet clever,1,y
the game is about russia,1,y
the plot,1,y
android support,1,y
there are not too many stereotypes,1,y
enjoyable gameplay,1,y
theme-relation,1,y
sfx,2,y
aesthetic - visuals/audio,1,y
lyrics,2,y
tune/melody,1,y
chords/harmony,1,y
rhythm,2,y
use of the colour theme,1,y
the most fun.,1,y
best shooting mechanics,1,y
best game mechanics,2,y
most detail/stylized/impressive looking game,1,y
would fund this game,1,y
keeps to the theme,1,y
simplicity,3,y
fun level,1,y
paradoxal simplicity,1,y
amusement,1,y
ambition,3,y
number of constraints used,1,y
game difficulty,1,y
gameplay & fun,2,y
original idea,2,y
audio & music,3,y
delthor's opinion,1,y
rulebook,1,y
card design,1,y
creativity of qr code usage,1,y
game graphics/sound,1,y
creative,2,y
gameplay (mechanics),1,y
best overall project,1,y
most fun,2,y
halfpoint,1,y
"fits well with theme(sci-fi, fantasy, action, adventure)",1,y
gameplay(how fun it is),1,y
story/game progression,1,y
game mechanics(how clear are instructions),1,y
nature,1,y
summer,1,y
best sound,4,y
does it include pixels or bits?,1,y
normal,1,y
cool,2,y
not cool,1,y
independence (who needs a girl/boyfriend?),1,y
fun (extra points for lonely tears),1,y
use of the theme,5,y
sound & music,1,y
technical achievement,3,y
bonus points,4,y
viability,1,y
entertainment value,5,y
extras,1,y
respect of constraints,1,y
great,1,y
good,2,y
ok,3,y
needs more work,1,y
maybe start something new,1,y
cute,1,y
norankplease,2,y
almonds,1,y
art quality,1,y
fun-ness,1,y
too hard,1,y
annoying,1,y
boring,1,y
theme - استخدام موضوع الزنقة,6,y
fun factor - عامل التسلية,6,y
innovation - الابداع,6,y
sound - الصوتيات,6,y
graphics/visuals - المرئيات/الجرافيكس,6,y
overall - التقييم عام,3,y
2 players?,1,y
does it match the theme?,1,y
how much content was there?,1,y
how good was the content?,1,y
is this game playable?,2,y
scenario,1,y
music and sounds,3,y
engagement and general,5,y
art / graphics,1,y
age of tools,1,y
nesness - how nes-like is this entry,1,y
overall - your overall opinion of the entry,1,y
"gameplay / control (feels good to play, or controls make sense in context)",2,y
fun / feel (enjoyment or good presentation—depends on game style),2,y
"depth / intrigue (amount of stuff in the game, or made you want to keep playing)",2,y
"visuals (coherence, style, etc.)",1,y
"audio (sound effects, music, etc.)",1,y
use of generated idea,2,y
theme/modifiers,1,y
graphics/artstyle,1,y
audio/music,1,y
darkness - how well an entry suits the theme.,1,y
innovation & creativity,1,y
controls & usability,1,y
overall rating,4,y
dopeness,1,y
trippyness,1,y
core design,2,y
spoopiness,1,y
gameplay value,1,y
juiciness,1,y
is the game football/world cup related?,1,y
was it fun/interesting/entertaining?,1,y
play experience,1,y
theme association,1,y
usefulness,4,y
reliablity,1,y
structure,1,y
optimization,2,y
ammount of care,1,y
does the game have only 16 colours or less?,1,y
fun-ness!,1,y
boxification,1,y
eargasmaticism,1,y
ingenuiception,1,y
blastasticalism,1,y
artsifartsiness,1,y
fun factor - how much fun did you have playing this game?,1,y
commercial potential - is this game capable of being a commercial product?,1,y
needs more work - should the developer keep working on this game?,1,y
narrativa,2,y
funess,1,y
sticking to the themeness,1,y
coolness,2,y
model design,1,y
how well does the game fit the theme,13,y
fun & gameplay,1,y
loyalty to the rules of the jam,1,y
retroness,1,y
colors,4,y
artwork,7,y
sfx & music,3,y
"creative usage of color (art, gameplay mechanic, story, ect..)",1,y
made in the span of the game jam (1 month),1,y
must be an original game,1,y
game can be created individually or by a group of up to 4 members,1,y
sound and music,6,y
memes,1,y
features,1,y
context,1,y
offensive game,1,y
sh*t game :(,1,y
engagement,2,y
color choose,1,y
fun (game feel),1,y
craziness,1,y
graphics/visuals,4,y
game innovation,3,y
inventiveness,1,y
menu,1,y
​concept,1,y
interest,1,y
overall goodness,2,y
girliness,1,y
host judgement,1,y
intuition,1,y
effort,3,y
jazz-feeling?,1,y
playable?,2,y
in keeping with the theme,1,y
easy to commentate over,1,y
appealing,1,y
jam,1,y
overall winner,1,y
cookies and milk!!!!,1,y
cookies!!!!,1,y
milk!!!,1,y
thecrafters001's choice,1,y
story and story telling technique,3,y
music and audio effect,3,y
graphics and visual effect,3,y
innovation and technology application,3,y
mechanic,2,y
depressive,1,y
sfx and music,1,y
"gameplay(mechanics, bugs, features)",1,y
ninja related,1,y
"""memery"" of the game",1,y
games idea,1,y
it works...?,1,y
is the game dank enough!?,1,y
use of unique/good memes,1,y
dickbutt?,1,y
artistry,3,y
conspiracy-y,1,y
most rotten! game! <3,1,y
overall best game! <3,1,y
most creative game! <3,1,y
most flavorful game! <3,1,y
"""i want that on a t-shirt! <3""",1,y
"how innovative is the game? unique, inventive, interesting?",1,y
how pretty is the game? (art + audio),1,y
how much potential do you think this game has if developed further?,1,y
"""the island"" -theme appeared in the game?",1,y
the game had (some) unique mechanics,1,y
the game worked (rather) smoothly,1,y
music/sounds,4,y
how creative the game is.,1,y
how good it looks.,1,y
how fun it is.,2,y
how much effort.,1,y
nqer,1,y
game play,25,y
accurate depiction of real farm life,1,y
sufficient amount of moving action,1,y
serious hack'n'slash ingredients,1,y
impressed by technical aspects,1,y
did you feel something while playing?,1,y
raspberriness,1,y
enjoyment of gameplay,1,y
accessibility (os and different aspect ratio support),1,y
"smoothness (obviously varies on devices, but should be generally jitter free)",1,y
relatedness to theme,1,y
aesthetic,10,y
ease to begin playing,1,y
recommended,1,y
did it follow the theme?,1,y
did it follow the limitations?,1,y
how where the graphics?,1,y
was it creative?,1,y
darkness in end,1,y
innocence in beginning,1,y
how well the theme was used,1,y
best running,2,y
cat-ness,1,y
most true to tim burton,1,y
runner up for most true to tim burton,1,y
best artwork,2,y
best game - community,1,y
best game - hosts,1,y
it shouldn't have any adult rated content,1,y
"made with unity, ue, or rpg maker for the rpg.",1,y
"it must be a complete game, not a demo.",1,y
it should not have any type of copyrighted material.,1,y
cooperative or competitive aspect,1,y
how well does the nudity incorporate in the game?,1,y
